"අම්මා කොකිස් 4ක් සාදන විට අක්කා කොකිස් 3ක් සාදයි. මෙලෙස දෙදෙනාම එකතු වී කොකිස් 35ක් සෑදුවේ නම් අක්කා සෑදු කොකිස් කීයද?",0
"වෙරලු ගෙඩි 3ක හා අඹ ගෙඩි 2 ක මිල රැ.46.00 නම් වෙරලු ගෙඩි 5ක් හා අඹ ගෙඩි 3ක මිල රැ.70.00 නම් වෙරලු ගෙඩි 4ක් හා අඹ ගෙඩි 2ක මිල කීයද",0
"28 ,63, 74 ,56, 45 ,81 මෙහි ඇති 9 ගුනාකාර ගනන කීයද? ",1
"2021 ජනවාරි 2 සෙනසුරාදා නම් 2022 ජනවාරි 2 දවස කුමක්ද?",0
"තාප්පයක් බැදීමට පෙදරේරුවන් 3න් දෙනෙකුට දින 10ක් ගත වෙයි. එයට පෙදරේරුවන් 5 දෙනෙකුට දින කීයක් ගත වෙයිද ",0
"වට්ටක්කා ගෙඩියට 4kg 50g කොමඩු ගෙඩිය 1kg 275g නම් වට්ටක්කා ගෙඩියට වඩා කොමඩු ගෙඩිය කොපමණ බරද?",0
"ගමනකින් 1/5ක දුර 4km වේ. එම ගමනේ මුලු දුරින් 1/2 ක දුර කොපමණද ",0
"රටාව අනුව හිස්තැන් පුරවන්න 12,5,7     16,9,7    24.....,8",2
"ගාමිණී විදුහලේ 4056ක් ඉගෙනුම ලබයි. ඊට වඩා 396ක් වැඩියෙන් පීතර විදුහලේ සිසුන් සිටී නම් පාසල් දෙකේම සිටින මුලු සිසුන් සංඛ්‍යාව කීයද?",0
"හතළිස් තුන් දහස් අටසියවිසිපහ යන සංඛ්‍යාවේ ඇති ඉලක්කම් භාවිතයෙන් ලිවිය හැකි විශාලම සංඛ්‍යාව කුමක්ද",1
"මා ලග රුපියල් 150.00 ක් ඇත ඉන් රුපියල් 40ක් මල්ලිට දුන් පසුව අප දෙදෙනා ලග ඇති මුදල් සමාන වේ. මල්ලි ලග මුලින් තිබුන මුදල කීයද? ",0
"පෙති 5 මල් 5ක ඇති පෙති ගනන රෝම සංඛ්‍යාවෙන් මින් කුමක්ද",1
